the_geom,SCHOOL_NM,UNIT_ID,SCHOOL_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.65996614551153 41.79755645211711),LIBBY,4470,610037,5300 S LOOMIS BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6599661452,41.7975564533
POINT (-87.67513570852888 41.77425521288402),O'TOOLE,5230,610108,6550 S SEELEY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6751357082,41.7742552138
POINT (-87.63293184096815 41.80169901733527),PARKMAN,5280,610114,245 W 51ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6329318411,41.8016990183
POINT (-87.62365645209886 41.78392458587068),ROSS,5650,610150,6059 S WABASH AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6236564523,41.7839245867
POINT (-87.65636829673716 41.7885726821882),BONTEMPS,5750,610161,1241 W 58TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6563682965,41.788572683
POINT (-87.63228564733247 41.790772804547295),SHERWOOD,5900,610173,245 W 57TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6322856476,41.7907728056
POINT (-87.62705964290278 41.80910894477551),BEETHOVEN,6540,610237,25 W 47TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6270596429,41.8091089457
POINT (-87.67224312902952 41.80234685496687),DALEY,6560,610239,5024 S WOLCOTT AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6722431289,41.8023468559
POINT (-87.62565553511902 41.79848921333215),BEASLEY,6660,610246,5255 S STATE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6256555348,41.7984892144
POINT (-87.61657958560401 41.81429318930037),MOLLISON,6950,610276,4415 S KING DR,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6165795856,41.8142931904
POINT (-87.62014279508773 41.80557544973678),OVERTON,6960,610277,221 E 49TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6201427947,41.8055754505
POINT (-87.6665666513605 41.77122494406339),DAVIS MAGNET,7000,610521,6730 S PAULINA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6665666515,41.771224945
POINT (-87.60845406649743 41.81443251429077),WOODSON SOUTH,7820,610345,4414 S EVANS AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6084540665,41.8144325154
POINT (-87.61979118830422 41.827327670820694),MAYO,4700,610061,249 E 37TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6197911879,41.8273276713
POINT (-87.58963138838858 41.73310426116628),MCDOWELL,7390,610312,1419 E 89TH ST,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.589631388,41.733104262
POINT (-87.66777652320405 41.78227811135881),EARLE,3130,609897,6121 S HERMITAGE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6677765231,41.7822781122
POINT (-87.67557893720678 41.781252510291),GOODLOW,3290,609913,2040 W 62ND ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.675578937,41.781252511
POINT (-87.64615996587435 41.77256039974748),MAYS,7150,610290,838 W MARQUETTE RD,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6461599656,41.7725604006
POINT (-87.68114718762392 41.777536544901054),CLAREMONT,7830,610347,2300 W. 64TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6811471873,41.7775365458
POINT (-87.65822972189343 41.7651029455716),ALTGELD,2050,609775,1340 W 71ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6582297219,41.7651029465
POINT (-87.67096643493348 41.75428554134029),BARTON,2170,609790,7650 S WOLCOTT AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6709664344,41.754285542
POINT (-87.65356562110922 41.774273474441486),BASS,2180,609791,1140 W 66TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6535656208,41.7742734756
POINT (-87.64748671899514 41.7848939790531),NICHOLSON,2200,609793,6006 S PEORIA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6474867189,41.7848939801
POINT (-87.64748671899514 41.7848939790531),NICHOLSON,2200,609793,6006 S PEORIA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6474867189,41.7848939801
POINT (-87.66932909219726 41.74934396185189),JOPLIN,2330,609805,7931 S HONORE ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6693290918,41.7493439628
POINT (-87.62171073868461 41.77166918600811),BROWNELL,2410,609813,6741 S MICHIGAN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6217107386,41.7716691869
POINT (-87.62338238099301 41.76253811156024),DENEEN,3010,609883,7240 S WABASH AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.623382381,41.7625381121
POINT (-87.64093082200705 41.776545068261),KERSHAW,4270,610019,6450 S LOWE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6409308218,41.7765450692
POINT (-87.64550797616222 41.754744277752636),OGLESBY,5170,610102,7646 S GREEN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6455079762,41.7547442785
POINT (-87.63534909566171 41.77074529233637),PARKER,5270,610112,6800 S STEWART AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6353490959,41.7707452934
POINT (-87.63534909566171 41.77074529233637),PARKER,5270,610112,6800 S STEWART AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6353490959,41.7707452934
POINT (-87.61150973699989 41.76650774959098),PARK MANOR,5290,610115,7037 S RHODES AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6115097367,41.7665077505
POINT (-87.61802990218776 41.75195042666885),RUGGLES,5660,610152,7831 S PRAIRIE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6180299023,41.7519504274
POINT (-87.64825708277021 41.76734754079862),WENTWORTH,6390,610223,6950 S SANGAMON ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6482570828,41.7673475419
POINT (-87.6320966413943 41.766475995211415),YALE,6500,610233,7025 S PRINCETON AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.632096641,41.766475996
POINT (-87.6530569212824 41.76545233689323),BOND,6550,610238,7050 S MAY ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6530569208,41.7654523378
POINT (-87.63515585398747 41.77846170409562),REED,6870,610264,6350 S STEWART AV,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6351558539,41.7784617049
POINT (-87.64292995571267 41.807515575868116),TILDEN AA,7580,610375,4747 S UNION AV,HS,"9, 10",High School,-87.6429299556,41.8075155767
POINT (-87.72109672834524 41.74934816966724),BOGAN HS,1230,609698,3939 W 79TH ST,HS,"9, 10, 11, 12",High School,-87.7210967282,41.7493481708
POINT (-87.63711729919912 41.76978148866528),ROBESON HS,1320,609707,6835 S NORMAL BL,HS,"9, 10, 11, 12",High School,-87.6371172991,41.7697814896
POINT (-87.68899072278607 41.7910166621436),GAGE PARK HS,1340,609709,5630 S ROCKWELL ST,HS,"9, 10, 11, 12",High School,-87.6889907228,41.791016663
POINT (-87.60176610272876 41.75379661117364),HIRSCH HS,1380,609712,7740 S INGLESIDE AV,HS,"9, 10, 11, 12",High School,-87.6017661027,41.7537966119
POINT (-87.57964641106817 41.75795281320041),SCHOOL OF THE ARTS HS,7370,610310,7529 S CONSTANCE AV,HS,"9, 10, 11, 12",High School,-87.5796464106,41.7579528143
POINT (-87.63711729919912 41.76978148866528),ROBESON AA,7570,610374,6835 S NORMAL BL,HS,"9, 10",High School,-87.6371172991,41.7697814896
POINT (-87.62066227420785 41.71847290155539),HARLAN HS,1350,609710,9652 S MICHIGAN AV,HS,"7, 8, 9, 10, 11, 12",High School,-87.6206622743,41.7184729026
POINT (-87.53749908324518 41.68810918563431),WASHINGTON HS,1630,609739,3535 E 114TH ST,HS,"9, 10, 11, 12",High School,-87.537499083,41.6881091868
POINT (-87.60311732055585 41.7073903674716),CORLISS HS,1860,609761,821 E 103RD ST,HS,"9, 10, 11, 12",High School,-87.6031173201,41.7073903683
POINT (-87.55773310942119 41.733761304791884),BOWEN ENVIRONMENTAL HS,7340,610307,2710 E 89TH ST,HS,"9, 10, 11, 12",High School,-87.5577331089,41.7337613058
POINT (-87.6353588407114 41.745833208406026),SIMEON HS,1150,609692,8147 S VINCENNES AV,HS,"9, 10, 11, 12",High School,-87.6353588401,41.7458332094
POINT (-87.58664987650383 41.78218279033375),HYDE PARK HS,1390,609713,6220 S STONY ISLAND AV,HS,"9, 10, 11, 12",High School,-87.5866498762,41.7821827911
POINT (-87.78032075125091 41.79042895121358),KENNEDY HS,1420,609718,6325 W 56TH ST,HS,"9, 10, 11, 12",High School,-87.7803207507,41.7904289523
POINT (-87.57964641106817 41.75795281320041),SCHOOL OF TECHNOLOGY HS,7220,610296,7529 S CONSTANCE AV,HS,"9, 10, 11, 12",High School,-87.5796464106,41.7579528143
POINT (-87.57960707172369 41.75618420735805),SCHOOL OF LEADERSHIP HS,7230,610297,7627 S CONSTANCE AV,HS,"9, 10, 11, 12",High School,-87.5796070715,41.7561842082
POINT (-87.57960707172369 41.75618420735805),SCHOOL OF ENTRP HS,7380,610311,7627 S CONSTANCE AV,HS,"9, 10, 11, 12",High School,-87.5796070715,41.7561842082
POINT (-87.5731830310937 41.737202615717955),CHICAGO VOCATIONAL HS,1010,609674,2100 E 87TH ST,HS,"9, 10, 11, 12",High School,-87.573183031,41.7372026166
POINT (-87.66565202882627 41.6920641956568),MORGAN PARK HS,1490,609725,1744 W PRYOR AV,HS,"7, 8, 9, 10, 11, 12",High School,-87.6656520286,41.6920641966
POINT (-87.65378593219572 41.705862909078704),JULIAN HS,1870,609762,10330 S ELIZABETH ST,HS,"9, 10, 11, 12",High School,-87.6537859316,41.7058629097
POINT (-87.55773310942119 41.733761304791884),CHICAGO DISCOVERY HS,7360,610309,2710 E 89TH ST,HS,"9, 10, 11, 12",High School,-87.5577331089,41.7337613058
POINT (-87.55773310942119 41.733761304791884),GLOBAL VISIONS HS,7550,610324,2710 E 89TH ST,HS,"9, 10, 11, 12",High School,-87.5577331089,41.7337613058
POINT (-87.5731830310937 41.737202615717955),CHICAGO VOCATIONAL AA,7670,609675,2100 E 87TH ST,HS,"9, 10",High School,-87.573183031,41.7372026166
POINT (-87.76321129551351 41.88518216232466),VOISE,1145,610518,231 N. PINE AV,HS,9,High School,-87.7632112954,41.8851821631
POINT (-87.65264130471512 41.96557216693075),UPLIFT HS,2210,610394,900 W WILSON AV,HS,"6, 7, 8, 9, 10, 11, 12",High School,-87.6526413045,41.965572168
POINT (-87.62448455126544 41.80457956556587),WILLIAMS MEDICINE,7200,610380,4934 S WABASH AV,MS,"7, 8, 9, 10",Middle School,-87.6244845509,41.8045795662
POINT (-87.66526394456018 41.98909794247735),SENN HS,1540,609730,5900 N GLENWOOD AV,HS,"9, 10, 11, 12",High School,-87.6652639441,41.9890979437
POINT (-87.76763287766917 41.890401338715165),DOUGLASS HS,6630,610245,543 N WALLER AV,HS,"9, 10, 11, 12",High School,-87.7676328775,41.8904013399
POINT (-87.70571441018333 41.74292553531304),OWEN,5240,610109,8247 S CHRISTIANA AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7057144098,41.7429255362
POINT (-87.64753982113267 41.70657606996185),"GARVEY, M",5420,610128,10309 S MORGAN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6475398208,41.7065760711
POINT (-87.63993919770385 41.6965626690779),DUNNE,6050,610188,10845 S UNION AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6399391975,41.6965626698
POINT (-87.66556262176753 41.72070818022145),VANDERPOEL,6250,610207,9510 S PROSPECT AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6655626213,41.7207081812
POINT (-87.70964493826747 41.742285961206136),ASHBURN,7100,610287,8300 S ST LOUIS AV,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7096449386,41.7422859621
POINT (-87.63926870379932 41.71566032393261),EVERS,7990,610362,9811 S LOWE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6392687036,41.7156603248
POINT (-87.64808256692493 41.7162696721416),WACKER,8030,610366,9746 S MORGAN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6480825666,41.7162696731
POINT (-87.62980504909048 41.705370579631115),"HUGHES, L",8060,610368,240 W 104TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6298050492,41.7053705806
POINT (-87.64673388392858 41.734098544058284),"JACKSON, M",8090,610369,917 W 88TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6467338837,41.7340985451
POINT (-87.59161872766771 41.7483135814062),AVALON PARK,2130,609786,8045 S KENWOOD AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5916187279,41.7483135824
POINT (-87.55717930563354 41.7543952483445),BRADWELL,2340,609806,7736 S BURNHAM AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5571793056,41.754395249
POINT (-87.57603920598024 41.76089341439712),BOUCHET,2430,609815,7355 S JEFFERY BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5760392058,41.760893415
POINT (-87.6075591997181 41.72850629206473),BURNSIDE,2520,609827,650 E 91ST PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6075591997,41.7285062928
POINT (-87.60683001269896 41.76076459830747),TANNER,6970,610279,7350 S EVANS AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6068300122,41.7607645993
POINT (-87.55650570771749 41.759721320511005),POWELL,7010,610281,7530 S SOUTH SHORE DR,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5565057078,41.759721321
POINT (-87.63359274208646 41.68657754474312),HALEY,2360,609808,11411 S EGGLESTON AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6335927417,41.6865775455
POINT (-87.56212165194572 41.699773854906425),BRIGHT,2390,609811,10740 S CALHOUN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5621216514,41.6997738559
POINT (-87.57754348843486 41.720502896678425),BURNHAM,2480,609821,1903 E 96TH ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5775434883,41.7205028975
POINT (-87.59955887282827 41.65367321578124),CARVER,2690,609845,901 E 133RD PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5995588732,41.6536732165
POINT (-87.60655234290131 41.65743250063949),ALDRIDGE,2710,609848,630 E 131ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6065523429,41.6574325014
POINT (-87.54457699649177 41.654562517943),CLAY,2790,609856,13231 S BURLEY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5445769961,41.6545625191
POINT (-87.63427014619188 41.66948400440985),METCALFE,3190,609902,12339 S NORMAL AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.634270146,41.6694840051
POINT (-87.62242288708924 41.66737619043596),OWENS,3470,609932,12450 S STATE ST,ES,"PK, K, 1, 2, 3",Elementary School,-87.622422887,41.6673761915
POINT (-87.5351384037798 41.70687580955222),GALLISTEL,3490,609935,10347 S EWING AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5351384033,41.7068758106
POINT (-87.62257724923157 41.67049751260458),GOMPERS,3570,609943,12302 S STATE ST,MS,"4, 5, 6, 7, 8",Elementary School,-87.6225772488,41.6704975137
POINT (-87.60475184332472 41.70758354100394),SMITH,3870,609978,744 E 103RD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6047518432,41.707583542
POINT (-87.61128349082173 41.70042724074192),CULLEN,4100,610004,10650 S EBERHART AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6112834908,41.7004272415
POINT (-87.5671672115596 41.714401763006),LAWRENCE,4550,610045,9928 S CRANDON AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5671672112,41.7144017641
POINT (-87.6389181235841 41.66477292182095),"BROWN, R",5040,610091,12607 S UNION AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6389181238,41.6647729226
POINT (-87.60645487497149 41.70259513212747),POE,5460,610132,10538 S LANGLEY AV,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6064548751,41.7025951332
POINT (-87.60939250300859 41.68873528819337),PULLMAN G,5530,610139,11311 S FORRESTVILLE AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6093925029,41.6887352888
POINT (-87.6250571448935 41.68085267509039),SONGHAI,5740,610160,11725 S PERRY AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6250571449,41.680852676
POINT (-87.65928092767629 41.69049339341361),SHOOP,5930,610176,1460 W 112TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6592809276,41.6904933942
POINT (-87.59689859627794 41.71708810365255),SCHMID,5950,610178,9755 S GREENWOOD AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5968985959,41.7170881049
POINT (-87.53300741347003 41.71538466206971),TAYLOR,6150,610198,9912 S AVENUE H,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5330074136,41.715384663
POINT (-87.65814515214875 41.677477476265224),COLEMAN,6170,610199,1441 W 119TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6581451518,41.6774774769
POINT (-87.54451349720605 41.733264621982286),"THORP, J",6180,610200,8914 S BUFFALO AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5445134973,41.733264623
POINT (-87.62709637960782 41.69629047990852),LAVIZZO,6260,610208,138 W 109TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6270963791,41.6962904811
POINT (-87.63570738790521 41.676694611263216),WEST PULLMAN,6400,610224,11941 S PARNELL AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6357073875,41.6766946124
POINT (-87.6553476020388 41.68392077879222),WHISTLER,6420,610225,11533 S ADA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6553476017,41.6839207796
POINT (-87.64702791382577 41.68094731055312),HIGGINS,7210,610295,11710 S MORGAN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6470279141,41.6809473113
POINT (-87.65058786827959 41.672336042151855),WHITE,7440,610315,1136 W 122ND ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6505878677,41.672336043
POINT (-87.6143951729012 41.65376025771633),DUBOIS,8010,610364,330 E 133RD ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6143951727,41.6537602589
POINT (-87.76321129551351 41.88518216232466),AUSTIN POLYTECHNICAL ACADEMY,1065,610501,231 N PINE AV,HS,"9, 10, 11",High School,-87.7632112954,41.8851821631
POINT (-87.6795224343807 41.97511079904744),AMUNDSEN HS,1210,609695,5110 N DAMEN AV,HS,"9, 10, 11, 12",High School,-87.679522434,41.9751108002
POINT (-87.70238689070867 41.987558577285576),MATHER HS,1480,609724,5835 N LINCOLN AV,HS,"9, 10, 11, 12",High School,-87.7023868903,41.9875585783
POINT (-87.73571656043937 41.946463125436175),SCHURZ HS,1530,609729,3601 N MILWAUKEE AV,HS,"9, 10, 11, 12",High School,-87.7357165606,41.9464631266
POINT (-87.66915522791741 42.002683789937564),SULLIVAN HS,1570,609733,6631 N BOSWORTH AV,HS,"9, 10, 11, 12",High School,-87.669155228,42.0026837906
POINT (-87.67822888573464 41.878835727309124),BEST PRACTICE HS,1020,610370,2040 W ADAMS ST,HS,"10, 11, 12",High School,-87.6782288854,41.8788357283
POINT (-87.7079297905691 41.878472976706284),MARSHALL HS,1470,609723,3250 W ADAMS ST,HS,"9, 10, 11, 12",High School,-87.7079297903,41.8784729777
POINT (-87.6637697310832 41.852690442568374),JUAREZ HS,1890,609764,2150 S LAFLIN ST,HS,"9, 10, 11, 12",High School,-87.6637697311,41.8526904435
POINT (-87.75343091052152 41.8728560595967),CLARK HS,6620,610244,5101 W HARRISON ST,HS,"6, 7, 8, 9, 10, 11, 12",High School,-87.7534309103,41.8728560607
POINT (-87.61767070320843 41.84009453640252),DUNBAR HS,1030,609676,3000 S DR MARTIN LUTHER KING DR,HS,"9, 10, 11, 12",High School,-87.6176707029,41.8400945375
POINT (-87.61976542320772 41.823907789639264),PHILLIPS HS,1510,609727,244 E PERSHING RD,HS,"9, 10, 11, 12",High School,-87.619765423,41.8239077905
POINT (-87.61976542320772 41.823907789639264),PHILLIPS AA,1510,609743,244 E PERSHING RD,HS,"9, 10",High School,-87.619765423,41.8239077905
POINT (-87.70737299198525 41.88994929554928),WESTINGHOUSE HS,1160,609693,3223 W FRANKLIN BL,HS,9,High School,-87.7073729925,41.8899492964
POINT (-87.71533367419194 41.88618392552552),RABY HS,7690,610334,3545 W. FULTON BL,HS,"9, 10, 11, 12",High School,-87.7153336744,41.8861839266
POINT (-87.63494065396515 41.781458507704414),TEAM ENGLEWOOD COMMUNITY ACADEMY,8080,610506,6201 S STEWART AV,HS,"9, 10",High School,-87.6349406538,41.7814585083
POINT (-87.71335019774723 41.9732099625981),VON STEUBEN HS,1610,609737,5039 N KIMBALL AV,HS,"9, 10, 11, 12",High School,-87.7133501977,41.9732099633
POINT (-87.66752064723829 41.89903235399017),WELLS HS,1640,609740,936 N ASHLAND AV,HS,"9, 10, 11, 12",High School,-87.6675206471,41.8990323548
POINT (-87.68325366874143 41.87747376887158),CRANE HS,1270,609702,2245 W JACKSON BL,HS,"PK, 8, 9, 10, 11, 12",High School,-87.6832536689,41.8774737697
POINT (-87.69986540104476 41.87091189149478),MANLEY HS,1460,609722,2935 W POLK ST,HS,"9, 10, 11, 12",High School,-87.699865401,41.8709118924
POINT (-87.68325366874143 41.87747376887158),CRANE AA,7660,610378,2245 W JACKSON BL,HS,"9, 10",High School,-87.6832536689,41.8774737697
POINT (-87.61192430708623 41.8020498817642),DYETT HS,1600,609736,555 E 51ST ST,HS,"9, 10, 11, 12",High School,-87.6119243066,41.8020498828
POINT (-87.59038301370421 41.803709423379495),KENWOOD HS,1710,609746,5015 S BLACKSTONE AV,HS,"7, 8, 9, 10, 11, 12",High School,-87.5903830136,41.8037094242
POINT (-87.72454291627618 41.791490682859276),HANCOCK HS,1200,609694,4034 W 56th ST,HS,"9, 10, 11, 12",High School,-87.7245429162,41.791490684
POINT (-87.64134393643214 41.79351934839468),HOPE HS,1940,609768,5515 S LOWE AV,HS,"9, 10, 11, 12",High School,-87.6413439364,41.7935193493
POINT (-87.55773310942119 41.733761304791884),NEW MILLENNIUM HS,7540,610323,2710 E 89TH ST,HS,"9, 10, 11",High School,-87.5577331089,41.7337613058
POINT (-87.66223888259968 41.80278961296551),RICHARDS HS,1110,609682,5009 S LAFLIN ST,HS,"9, 10, 11, 12",High School,-87.6622388823,41.8027896136
POINT (-87.64292995571267 41.807515575868116),TILDEN HS,1590,609735,4747 S UNION AV,HS,"9, 10, 11, 12",High School,-87.6429299556,41.8075155767
POINT (-87.70525860539068 41.87722067681596),LOCKE CHARTER,4730,400011,3141 W JACKSON BL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7052586052,41.8772206779
POINT (-87.68131914935692 41.922356189455535),CICS - BUCKTOWN,4910,400025,2235 N HAMILTON AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6813191495,41.9223561905
POINT (-87.66930301191383 41.74827727433453),CICS - ELLISON,4911,400032,8001 S HONORE ST,HS,"9, 10, 11, 12",Charter,-87.6693030117,41.7482772752
POINT (-87.7105303045173 41.950930289810394),CICS - IRVING PARK,4913,400027,3820 N. SPAULDING AV,ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.7105303043,41.950930291
POINT (-87.65752478825856 41.7202598447968),CICS - LOOMIS CAMPUS,4914,400026,9535 S. LOOMIS ST,ES,"K, 1, 2",Charter,-87.6575247881,41.7202598458
POINT (-87.667676496151 41.767420338558864),SHABAZZ CHTR - SIZEMORE,5130,400074,6936 S. HERMITAGE AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6676764956,41.7674203393
POINT (-87.69000884801824 41.900369945540064),ERIE CHARTER,5780,400039,2510 W CORTEZ ST,ES,"K, 1, 2, 3, 4, 5",Charter,-87.690008848,41.9003699464
POINT (-87.68389825463676 41.84922098301705),UNO - PAZ INTERMEDIATE,5810,400083,2317 W 23RD PL,ES,"4, 5, 6, 7, 8",Charter,-87.6838982543,41.8492209837
POINT (-87.68389825463676 41.84922098301705),UNO - PAZ PRIMARY,5811,400090,2317 W 23RD PL,ES,"K, 1, 2, 3",Charter,-87.6838982543,41.8492209837
POINT (-87.72194525704957 41.89734059435806),GALAPAGOS CHARTER,5840,400041,3814 W IOWA ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7219452566,41.8973405956
POINT (-87.73054827191235 41.85685112156846),LEGACY CHARTER,5870,400049,4217 W 18TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.7305482714,41.8568511224
POINT (-87.58777223391658 41.74315362903005),CICS - AVALON SOUTH SHORE,6580,400023,1501 E 83RD PL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.5877722337,41.7431536297
POINT (-87.6639571929832 41.775302070242844),PROVIDENCE ENGLEWOOD,6700,400071,6515 S. ASHLAND AV,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6639571925,41.7753020712
POINT (-87.71071357812143 41.86720510911085),LEARN CHTR - BUTLER,6770,400046,1132 S HOMAN AV,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7107135777,41.8672051101
POINT (-87.68636255378775 41.87488627431128),LEARN CHTR - EXCEL,6775,400048,2401 W. CONGRESS PKWY,ES,"K, 1, 2, 3",Charter,-87.6863625536,41.8748862752
POINT (-87.67114160353043 41.98334427851344),PASSAGES CHARTER,6850,400060,1643 W BRYN MAWR AV,ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.6711416031,41.9833442795
